"id,state_code,state,constituency_code,constituency,winning_party,winning_party_alliance"
"220,S12,Madhya Pradesh,26,INDORE,Bharatiya Janata Party,National Democratic Alliance"
"207,S12,Madhya Pradesh,13,JABALPUR,Bharatiya Janata Party,National Democratic Alliance"
"214,S12,Madhya Pradesh,20,RAJGARH,Bharatiya Janata Party,National Democratic Alliance"
"117,S06,Gujarat,17,Kheda,Bharatiya Janata Party,National Democratic Alliance"
"57,S03,Assam,13,Dibrugarh,Bharatiya Janata Party,National Democratic Alliance"
"336,S20,Rajasthan,25,JHALAWAR-BARAN,Bharatiya Janata Party,National Democratic Alliance"
"178,S11,Kerala,4,Wayanad,Indian National Congress,United Progressive Alliance"
"324,S20,Rajasthan,13,Ajmer,Bharatiya Janata Party,National Democratic Alliance"
"526,S28,Uttarakhand,1,Tehri Garhwal,Bharatiya Janata Party,National Democratic Alliance"
"202,S12,Madhya Pradesh,8,KHAJURAHO,Bharatiya Janata Party,National Democratic Alliance"
"108,S06,Gujarat,8,Ahmedabad West,Bharatiya Janata Party,National Democratic Alliance"
"359,S22,Tamil Nadu,22,Dindigul,Dravida Munnetra Kazhagam,United Progressive Alliance"
"397,S24,Uttar Pradesh,19,Fatehpur Sikri,Bharatiya Janata Party,National Democratic Alliance"
"317,S20,Rajasthan,6,Jaipur Rural,Bharatiya Janata Party,National Democratic Alliance"
"528,S28,Uttarakhand,3,Almora,Bharatiya Janata Party,National Democratic Alliance"
"38,S01,Andhra Pradesh,21,Kadapa,Yuvajana Sramika Rythu Congress Party,NA"
"455,S24,Uttar Pradesh,77,Varanasi,Bharatiya Janata Party,National Democratic Alliance"
"115,S06,Gujarat,15,Bhavnagar,Bharatiya Janata Party,National Democratic Alliance"
"110,S06,Gujarat,10,Rajkot,Bharatiya Janata Party,National Democratic Alliance"
"43,S02,Arunachal Pradesh,1,ARUNACHAL WEST,Bharatiya Janata Party,National Democratic Alliance"
"134,S07,Haryana,8,Bhiwani-Mahendragarh,Bharatiya Janata Party,National Democratic Alliance"
"318,S20,Rajasthan,7,Jaipur,Bharatiya Janata Party,National Democratic Alliance"
"248,S13,Maharashtra,25,Thane,Shivsena,National Democratic Alliance"
"148,S10,Karnataka,2,Belgaum,Bharatiya Janata Party,National Democratic Alliance"
"216,S12,Madhya Pradesh,22,UJJAIN,Bharatiya Janata Party,National Democratic Alliance"
"360,S22,Tamil Nadu,23,Karur,Indian National Congress,United Progressive Alliance"
"73,S04,Bihar,15,Muzaffarpur,Bharatiya Janata Party,National Democratic Alliance"
"247,S13,Maharashtra,24,Kalyan,Shivsena,National Democratic Alliance"
"524,S27,Jharkhand,13,Palamau,Bharatiya Janata Party,National Democratic Alliance"
"161,S10,Karnataka,15,Udupi Chikmagalur,Bharatiya Janata Party,National Democratic Alliance"
"199,S12,Madhya Pradesh,5,SAGAR,Bharatiya Janata Party,National Democratic Alliance"
"101,S06,Gujarat,1,Kachchh,Bharatiya Janata Party,National Democratic Alliance"
"516,S27,Jharkhand,5,Kodarma,Bharatiya Janata Party,National Democratic Alliance"
"172,S10,Karnataka,26,Bangalore South,Bharatiya Janata Party,National Democratic Alliance"
"121,S06,Gujarat,21,Chhota Udaipur,Bharatiya Janata Party,National Democratic Alliance"
"362,S22,Tamil Nadu,25,Perambalur,Dravida Munnetra Kazhagam,United Progressive Alliance"
"390,S24,Uttar Pradesh,12,Ghaziabad,Bharatiya Janata Party,National Democratic Alliance"
"88,S04,Bihar,30,Patna Sahib,Bharatiya Janata Party,National Democratic Alliance"
"217,S12,Madhya Pradesh,23,MANDSOUR,Bharatiya Janata Party,National Democratic Alliance"
"339,S22,Tamil Nadu,2,Chennai North,Dravida Munnetra Kazhagam,United Progressive Alliance"
"64,S04,Bihar,6,Madhubani,Bharatiya Janata Party,National Democratic Alliance"
"312,S20,Rajasthan,1,Ganganagar,Bharatiya Janata Party,National Democratic Alliance"
"320,S20,Rajasthan,9,BHARATPUR,Bharatiya Janata Party,National Democratic Alliance"
"47,S03,Assam,3,Autonomous District,Bharatiya Janata Party,National Democratic Alliance"
"215,S12,Madhya Pradesh,21,DEWAS,Bharatiya Janata Party,National Democratic Alliance"
"102,S06,Gujarat,2,Banaskantha,Bharatiya Janata Party,National Democratic Alliance"
"315,S20,Rajasthan,4,Jhunjhunu,Bharatiya Janata Party,National Democratic Alliance"
"213,S12,Madhya Pradesh,19,BHOPAL,Bharatiya Janata Party,National Democratic Alliance"
"145,S09,Jammu & Kashmir,5,Udhampur,Bharatiya Janata Party,National Democratic Alliance"
"529,S28,Uttarakhand,4,Nainital-udhamsingh Nagar,Bharatiya Janata Party,National Democratic Alliance"
"200,S12,Madhya Pradesh,6,TIKAMGARH,Bharatiya Janata Party,National Democratic Alliance"
"126,S06,Gujarat,26,Valsad,Bharatiya Janata Party,National Democratic Alliance"
"257,S13,Maharashtra,34,Pune,Bharatiya Janata Party,National Democratic Alliance"
"507,S26,Chhattisgarh,7,DURG,Bharatiya Janata Party,National Democratic Alliance"
"104,S06,Gujarat,4,Mahesana,Bharatiya Janata Party,National Democratic Alliance"
"135,S07,Haryana,9,Gurgaon,Bharatiya Janata Party,National Democratic Alliance"
"395,S24,Uttar Pradesh,17,Mathura,Bharatiya Janata Party,National Democratic Alliance"
"72,S04,Bihar,14,Darbhanga,Bharatiya Janata Party,National Democratic Alliance"
"392,S24,Uttar Pradesh,14,Bulandshahr,Bharatiya Janata Party,National Democratic Alliance"
"62,S04,Bihar,4,Sheohar,Bharatiya Janata Party,National Democratic Alliance"
"250,S13,Maharashtra,27,Mumbai North West,Shivsena,National Democratic Alliance"
"442,S24,Uttar Pradesh,64,Gorakhpur,Bharatiya Janata Party,National Democratic Alliance"
"201,S12,Madhya Pradesh,7,DAMOH,Bharatiya Janata Party,National Democratic Alliance"
"58,S03,Assam,14,Lakhimpur,Bharatiya Janata Party,National Democratic Alliance"
"539,U05,NCT OF Delhi,5,NORTH WEST DELHI,Bharatiya Janata Party,National Democratic Alliance"
"206,S12,Madhya Pradesh,12,SHAHDOL,Bharatiya Janata Party,National Democratic Alliance"
"447,S24,Uttar Pradesh,69,Azamgarh,Samajwadi Party,NA"
"319,S20,Rajasthan,8,Alwar,Bharatiya Janata Party,National Democratic Alliance"
"540,U05,NCT OF Delhi,6,WEST DELHI,Bharatiya Janata Party,National Democratic Alliance"
"508,S26,Chhattisgarh,8,RAIPUR,Bharatiya Janata Party,National Democratic Alliance"
"227,S13,Maharashtra,4,Raver,Bharatiya Janata Party,National Democratic Alliance"
"330,S20,Rajasthan,19,Udaipur,Bharatiya Janata Party,National Democratic Alliance"
"351,S22,Tamil Nadu,14,Kallakurichi,Dravida Munnetra Kazhagam,United Progressive Alliance"
"376,S22,Tamil Nadu,39,Kanniyakumari,Indian National Congress,United Progressive Alliance"
"313,S20,Rajasthan,2,Bikaner,Bharatiya Janata Party,National Democratic Alliance"
"223,S12,Madhya Pradesh,29,BETUL,Bharatiya Janata Party,National Democratic Alliance"
"314,S20,Rajasthan,3,Churu,Bharatiya Janata Party,National Democratic Alliance"
"391,S24,Uttar Pradesh,13,Gautam Buddha Nagar,Bharatiya Janata Party,National Democratic Alliance"
"60,S04,Bihar,2,Paschim Champaran,Bharatiya Janata Party,National Democratic Alliance"
"328,S20,Rajasthan,17,Barmer,Bharatiya Janata Party,National Democratic Alliance"
"394,S24,Uttar Pradesh,16,Hathras,Bharatiya Janata Party,National Democratic Alliance"
"520,S27,Jharkhand,9,Jamshedpur,Bharatiya Janata Party,National Democratic Alliance"
"404,S24,Uttar Pradesh,26,Pilibhit,Bharatiya Janata Party,National Democratic Alliance"
"111,S06,Gujarat,11,Porbandar,Bharatiya Janata Party,National Democratic Alliance"
"84,S04,Bihar,26,Bhagalpur,Janata Dal (United),National Democratic Alliance"
"361,S22,Tamil Nadu,24,Tiruchirappalli,Indian National Congress,United Progressive Alliance"
"435,S24,Uttar Pradesh,57,Kaiserganj,Bharatiya Janata Party,National Democratic Alliance"
"441,S24,Uttar Pradesh,63,Maharajganj,Bharatiya Janata Party,National Democratic Alliance"
"114,S06,Gujarat,14,Amreli,Bharatiya Janata Party,National Democratic Alliance"
"462,S25,West Bengal,4,Darjeeling,Bharatiya Janata Party,National Democratic Alliance"
"9,S01,Telangana,9,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,NA"
"109,S06,Gujarat,9,Surendranagar,Bharatiya Janata Party,National Democratic Alliance"
"424,S24,Uttar Pradesh,46,Jhansi,Bharatiya Janata Party,National Democratic Alliance"
"327,S20,Rajasthan,16,Jodhpur,Bharatiya Janata Party,National Democratic Alliance"
"517,S27,Jharkhand,6,Giridih,AJSU Party,NA"
"260,S13,Maharashtra,37,Ahmadnagar,Bharatiya Janata Party,National Democratic Alliance"
"112,S06,Gujarat,12,Jamnagar,Bharatiya Janata Party,National Democratic Alliance"
"335,S20,Rajasthan,24,Kota,Bharatiya Janata Party,National Democratic Alliance"
"59,S04,Bihar,1,Valmiki Nagar,Janata Dal (United),National Democratic Alliance"
"316,S20,Rajasthan,5,Sikar,Bharatiya Janata Party,National Democratic Alliance"
"405,S24,Uttar Pradesh,27,Shahjahanpur,Bharatiya Janata Party,National Democratic Alliance"
"146,S09,Jammu & Kashmir,6,Jammu,Bharatiya Janata Party,National Democratic Alliance"
"348,S22,Tamil Nadu,11,Tiruvannamalai,Dravida Munnetra Kazhagam,United Progressive Alliance"
"61,S04,Bihar,3,Purvi Champaran,Bharatiya Janata Party,National Democratic Alliance"
"241,S13,Maharashtra,18,Jalna,Bharatiya Janata Party,National Democratic Alliance"
"15,S01,Telangana,15,Warangal,Telangana Rashtra Samithi,NA"
"105,S06,Gujarat,5,Sabarkantha,Bharatiya Janata Party,National Democratic Alliance"
"204,S12,Madhya Pradesh,10,REWA,Bharatiya Janata Party,National Democratic Alliance"
"163,S10,Karnataka,17,Dakshina Kannada,Bharatiya Janata Party,National Democratic Alliance"
"53,S03,Assam,9,Tezpur,Bharatiya Janata Party,National Democratic Alliance"
"41,S01,Andhra Pradesh,24,Rajampet,Yuvajana Sramika Rythu Congress Party,NA"
"150,S10,Karnataka,4,Bijapur,Bharatiya Janata Party,National Democratic Alliance"
"519,S27,Jharkhand,8,Ranchi,Bharatiya Janata Party,National Democratic Alliance"
"51,S03,Assam,7,Gauhati,Bharatiya Janata Party,National Democratic Alliance"
"444,S24,Uttar Pradesh,66,Deoria,Bharatiya Janata Party,National Democratic Alliance"
"341,S22,Tamil Nadu,4,Chennai central,Dravida Munnetra Kazhagam,United Progressive Alliance"
"142,S09,Jammu & Kashmir,2,Srinagar,Jammu & Kashmir National Conference,NA"
"222,S12,Madhya Pradesh,28,KHANDWA,Bharatiya Janata Party,National Democratic Alliance"
"99,S05,Goa,1,North Goa,Bharatiya Janata Party,National Democratic Alliance"
"116,S06,Gujarat,16,Anand,Bharatiya Janata Party,National Democratic Alliance"
"344,S22,Tamil Nadu,7,Arakkonam,Dravida Munnetra Kazhagam,United Progressive Alliance"
"515,S27,Jharkhand,4,Chatra,Bharatiya Janata Party,National Democratic Alliance"
"180,S11,Kerala,6,Malappuram,Indian Union Muslim League,United Progressive Alliance"
"411,S24,Uttar Pradesh,33,Unnao,Bharatiya Janata Party,National Democratic Alliance"
"160,S10,Karnataka,14,Shimoga,Bharatiya Janata Party,National Democratic Alliance"
"418,S24,Uttar Pradesh,40,Farrukhabad,Bharatiya Janata Party,National Democratic Alliance"
"373,S22,Tamil Nadu,36,Thoothukkudi,Dravida Munnetra Kazhagam,United Progressive Alliance"
"65,S04,Bihar,7,Jhanjharpur,Janata Dal (United),National Democratic Alliance"
"329,S20,Rajasthan,18,Jalore,Bharatiya Janata Party,National Democratic Alliance"
"127,S07,Haryana,1,Ambala,Bharatiya Janata Party,National Democratic Alliance"
"413,S24,Uttar Pradesh,35,Lucknow,Bharatiya Janata Party,National Democratic Alliance"
"422,S24,Uttar Pradesh,44,Akbarpur,Bharatiya Janata Party,National Democratic Alliance"
"443,S24,Uttar Pradesh,65,Kushi Nagar,Bharatiya Janata Party,National Democratic Alliance"
"251,S13,Maharashtra,28,Mumbai North East,Bharatiya Janata Party,National Democratic Alliance"
"541,U05,NCT OF Delhi,7,SOUTH DELHI,Bharatiya Janata Party,National Democratic Alliance"
"225,S13,Maharashtra,2,Dhule,Bharatiya Janata Party,National Democratic Alliance"
"82,S04,Bihar,24,Begusarai,Bharatiya Janata Party,National Democratic Alliance"
"396,S24,Uttar Pradesh,18,Agra,Bharatiya Janata Party,National Democratic Alliance"
"157,S10,Karnataka,11,Dharwad,Bharatiya Janata Party,National Democratic Alliance"
"393,S24,Uttar Pradesh,15,Aligarh,Bharatiya Janata Party,National Democratic Alliance"
"445,S24,Uttar Pradesh,67,Bansgaon,Bharatiya Janata Party,National Democratic Alliance"
"342,S22,Tamil Nadu,5,Sriperumbudur,Dravida Munnetra Kazhagam,United Progressive Alliance"
"174,S10,Karnataka,28,Kolar,Bharatiya Janata Party,National Democratic Alliance"
"383,S24,Uttar Pradesh,5,Nagina,Bahujan Samaj Party,NA"
"270,S13,Maharashtra,47,Kolhapur,Shivsena,National Democratic Alliance"
"543,U07,Puducherry,1,Puducherry,Indian National Congress,United Progressive Alliance"
"103,S06,Gujarat,3,Patan,Bharatiya Janata Party,National Democratic Alliance"
"264,S13,Maharashtra,41,Latur,Bharatiya Janata Party,National Democratic Alliance"
"77,S04,Bihar,19,Maharajganj,Bharatiya Janata Party,National Democratic Alliance"
"479,S25,West Bengal,21,Diamond harbour,All India Trinamool Congress,NA"
"477,S25,West Bengal,19,Joynagar,All India Trinamool Congress,NA"
"80,S04,Bihar,22,Ujiarpur,Bharatiya Janata Party,National Democratic Alliance"
"128,S07,Haryana,2,Kurukshetra,Bharatiya Janata Party,National Democratic Alliance"
"414,S24,Uttar Pradesh,36,Rae Bareli,Indian National Congress,United Progressive Alliance"
"79,S04,Bihar,21,Hajipur (SC),Lok Jan Shakti Party,National Democratic Alliance"
"98,S04,Bihar,40,Jamui (SC),Lok Jan Shakti Party,National Democratic Alliance"
"429,S24,Uttar Pradesh,51,Phulpur,Bharatiya Janata Party,National Democratic Alliance"
"233,S13,Maharashtra,10,Nagpur,Bharatiya Janata Party,National Democratic Alliance"
"421,S24,Uttar Pradesh,43,Kanpur,Bharatiya Janata Party,National Democratic Alliance"
"430,S24,Uttar Pradesh,52,Allahabad,Bharatiya Janata Party,National Democratic Alliance"
"367,S22,Tamil Nadu,30,Thanjavur,Dravida Munnetra Kazhagam,United Progressive Alliance"
"386,S24,Uttar Pradesh,8,Sambhal,Samajwadi Party,NA"
"34,S01,Andhra Pradesh,17,Nandyal,Yuvajana Sramika Rythu Congress Party,NA"
"122,S06,Gujarat,22,Bharuch,Bharatiya Janata Party,National Democratic Alliance"
"75,S04,Bihar,17,Gopalganj (SC),Janata Dal (United),National Democratic Alliance"
"537,U05,NCT OF Delhi,3,EAST DELHI,Bharatiya Janata Party,National Democratic Alliance"
"343,S22,Tamil Nadu,6,Kancheepuram,Dravida Munnetra Kazhagam,United Progressive Alliance"
"353,S22,Tamil Nadu,16,Namakkal,Dravida Munnetra Kazhagam,United Progressive Alliance"
"81,S04,Bihar,23,Samastipur (SC),Lok Jan Shakti Party,National Democratic Alliance"
"55,S03,Assam,11,Kaliabor,Indian National Congress,United Progressive Alliance"
"149,S10,Karnataka,3,Bagalkot,Bharatiya Janata Party,National Democratic Alliance"
"33,S01,Andhra Pradesh,16,Ongole,Yuvajana Sramika Rythu Congress Party,NA"
"123,S06,Gujarat,23,Bardoli,Bharatiya Janata Party,National Democratic Alliance"
"40,S01,Andhra Pradesh,23,Tirupati,Yuvajana Sramika Rythu Congress Party,NA"
"437,S24,Uttar Pradesh,59,Gonda,Bharatiya Janata Party,National Democratic Alliance"
"196,S12,Madhya Pradesh,2,BHIND,Bharatiya Janata Party,National Democratic Alliance"
"325,S20,Rajasthan,14,Nagaur,Rashtriya Loktantrik Party,National Democratic Alliance"
"70,S04,Bihar,12,Purnia,Janata Dal (United),National Democratic Alliance"
"538,U05,NCT OF Delhi,4,NEW DELHI,Bharatiya Janata Party,National Democratic Alliance"
"159,S10,Karnataka,13,Davanagere,Bharatiya Janata Party,National Democratic Alliance"
"63,S04,Bihar,5,Sitamarhi,Janata Dal (United),National Democratic Alliance"
"365,S22,Tamil Nadu,28,Mayiladuthurai,Dravida Munnetra Kazhagam,United Progressive Alliance"
"400,S24,Uttar Pradesh,22,Etah,Bharatiya Janata Party,National Democratic Alliance"
"476,S25,West Bengal,18,Basirhat,All India Trinamool Congress,NA"
"296,S18,Odisha,19,Aska,Biju Janata Dal,NA"
"113,S06,Gujarat,13,Junagadh,Bharatiya Janata Party,National Democratic Alliance"
"338,S22,Tamil Nadu,1,Thiruvallur,Indian National Congress,United Progressive Alliance"
"205,S12,Madhya Pradesh,11,SIDHI,Bharatiya Janata Party,National Democratic Alliance"
"71,S04,Bihar,13,Madhepura,Janata Dal (United),National Democratic Alliance"
"460,S25,West Bengal,2,Alipurduars,Bharatiya Janata Party,National Democratic Alliance"
"427,S24,Uttar Pradesh,49,Fatehpur,Bharatiya Janata Party,National Democratic Alliance"
"187,S11,Kerala,13,Idukki,Indian National Congress,United Progressive Alliance"
"356,S22,Tamil Nadu,19,Nilgiris,Dravida Munnetra Kazhagam,United Progressive Alliance"
"221,S12,Madhya Pradesh,27,KHARGONE,Bharatiya Janata Party,National Democratic Alliance"
"169,S10,Karnataka,23,Bangalore Rural,Indian National Congress,United Progressive Alliance"
"308,S19,Punjab,10,Firozpur,Shiromani Akali Dal,National Democratic Alliance"
"446,S24,Uttar Pradesh,68,Lalganj,Bahujan Samaj Party,NA"
"349,S22,Tamil Nadu,12,Arani,Indian National Congress,United Progressive Alliance"
"156,S10,Karnataka,10,Haveri,Bharatiya Janata Party,National Democratic Alliance"
"252,S13,Maharashtra,29,Mumbai North central,Bharatiya Janata Party,National Democratic Alliance"
"231,S13,Maharashtra,8,Wardha,Bharatiya Janata Party,National Democratic Alliance"
"536,U05,NCT OF Delhi,2,NORTH EAST DELHI,Bharatiya Janata Party,National Democratic Alliance"
"66,S04,Bihar,8,Supaul,Janata Dal (United),National Democratic Alliance"
"173,S10,Karnataka,27,Chikkballapur,Bharatiya Janata Party,National Democratic Alliance"
"399,S24,Uttar Pradesh,21,Mainpuri,Samajwadi Party,NA"
"219,S12,Madhya Pradesh,25,DHAR,Bharatiya Janata Party,National Democratic Alliance"
"409,S24,Uttar Pradesh,31,Hardoi,Bharatiya Janata Party,National Democratic Alliance"
"406,S24,Uttar Pradesh,28,Kheri,Bharatiya Janata Party,National Democratic Alliance"
"274,S15,Meghalaya,1,Shillong,Indian National Congress,United Progressive Alliance"
"514,S27,Jharkhand,3,Godda,Bharatiya Janata Party,National Democratic Alliance"
"457,S24,Uttar Pradesh,79,Mirzapur,Apna Dal (Soneylal),NA"
"253,S13,Maharashtra,30,Mumbai South central,Shivsena,National Democratic Alliance"
"152,S10,Karnataka,6,Raichur,Bharatiya Janata Party,National Democratic Alliance"
"434,S24,Uttar Pradesh,56,Bahraich,Bharatiya Janata Party,National Democratic Alliance"
"39,S01,Andhra Pradesh,22,Nellore,Yuvajana Sramika Rythu Congress Party,NA"
"78,S04,Bihar,20,Saran,Bharatiya Janata Party,National Democratic Alliance"
"147,S10,Karnataka,1,Chikkodi,Bharatiya Janata Party,National Democratic Alliance"
"162,S10,Karnataka,16,Hassan,Janata Dal (Secular),United Progressive Alliance"
"535,U05,NCT OF Delhi,1,CHANDNI CHOWK,Bharatiya Janata Party,National Democratic Alliance"
"403,S24,Uttar Pradesh,25,Bareilly,Bharatiya Janata Party,National Democratic Alliance"
"67,S04,Bihar,9,Araria,Bharatiya Janata Party,National Democratic Alliance"
"74,S04,Bihar,16,Vaishali,Lok Jan Shakti Party,National Democratic Alliance"
"170,S10,Karnataka,24,Bangalore North,Bharatiya Janata Party,National Democratic Alliance"
"203,S12,Madhya Pradesh,9,SATNA,Bharatiya Janata Party,National Democratic Alliance"
"119,S06,Gujarat,19,Dahod,Bharatiya Janata Party,National Democratic Alliance"
"37,S01,Andhra Pradesh,20,Hindupur,Yuvajana Sramika Rythu Congress Party,NA"
"354,S22,Tamil Nadu,17,Erode,Dravida Munnetra Kazhagam,United Progressive Alliance"
"471,S25,West Bengal,13,Ranaghat,Bharatiya Janata Party,National Democratic Alliance"
"83,S04,Bihar,25,Khagaria,Lok Jan Shakti Party,National Democratic Alliance"
"425,S24,Uttar Pradesh,47,Hamirpur,Bharatiya Janata Party,National Democratic Alliance"
"321,S20,Rajasthan,10,KARAULI-DHOLPUR,Bharatiya Janata Party,National Democratic Alliance"
"385,S24,Uttar Pradesh,7,Rampur,Samajwadi Party,NA"
"256,S13,Maharashtra,33,Maval,Shivsena,National Democratic Alliance"
"254,S13,Maharashtra,31,Mumbai   South,Shivsena,National Democratic Alliance"
"346,S22,Tamil Nadu,9,Krishnagiri,Indian National Congress,United Progressive Alliance"
"258,S13,Maharashtra,35,Baramati,Nationalist Congress Party,United Progressive Alliance"
"46,S03,Assam,2,Silchar,Bharatiya Janata Party,National Democratic Alliance"
"97,S04,Bihar,39,Nawada,Lok Jan Shakti Party,National Democratic Alliance"
"505,S26,Chhattisgarh,5,BILASPUR,Bharatiya Janata Party,National Democratic Alliance"
"87,S04,Bihar,29,Nalanda,Janata Dal (United),National Democratic Alliance"
"197,S12,Madhya Pradesh,3,GWALIOR,Bharatiya Janata Party,National Democratic Alliance"
"90,S04,Bihar,32,Arrah,Bharatiya Janata Party,National Democratic Alliance"
"153,S10,Karnataka,7,Bidar,Bharatiya Janata Party,National Democratic Alliance"
"183,S11,Kerala,9,Alathur,Indian National Congress,United Progressive Alliance"
"44,S02,Arunachal Pradesh,2,ARUNACHAL EAST,Bharatiya Janata Party,National Democratic Alliance"
"530,S28,Uttarakhand,5,Hardwar,Bharatiya Janata Party,National Democratic Alliance"
"167,S10,Karnataka,21,Mysore,Bharatiya Janata Party,National Democratic Alliance"
"18,S01,Andhra Pradesh,1,Aruku,Yuvajana Sramika Rythu Congress Party,NA"
"323,S20,Rajasthan,12,TONK-SAWAI MADHOPUR,Bharatiya Janata Party,National Democratic Alliance"
"234,S13,Maharashtra,11,Bhandara - gondiya,Bharatiya Janata Party,National Democratic Alliance"
"275,S15,Meghalaya,2,Tura,National People's Party,National Democratic Alliance"
"368,S22,Tamil Nadu,31,Sivaganga,Indian National Congress,United Progressive Alliance"
"366,S22,Tamil Nadu,29,Nagapattinam,Communist Party of India,NA"
"129,S07,Haryana,3,Sirsa,Bharatiya Janata Party,National Democratic Alliance"
"151,S10,Karnataka,5,Gulbarga,Bharatiya Janata Party,National Democratic Alliance"
"198,S12,Madhya Pradesh,4,GUNA,Bharatiya Janata Party,National Democratic Alliance"
"246,S13,Maharashtra,23,Bhiwandi,Bharatiya Janata Party,National Democratic Alliance"
"42,S01,Andhra Pradesh,25,Chittoor,Yuvajana Sramika Rythu Congress Party,NA"
"410,S24,Uttar Pradesh,32,Misrikh,Bharatiya Janata Party,National Democratic Alliance"
"132,S07,Haryana,6,Sonipat,Bharatiya Janata Party,National Democratic Alliance"
"268,S13,Maharashtra,45,Satara,Nationalist Congress Party,United Progressive Alliance"
"478,S25,West Bengal,20,Mathurapur,All India Trinamool Congress,NA"
"31,S01,Andhra Pradesh,14,Narasaraopet,Yuvajana Sramika Rythu Congress Party,NA"
"501,S26,Chhattisgarh,1,SARGUJA,Bharatiya Janata Party,National Democratic Alliance"
"6,S01,Telangana,6,Medak,Telangana Rashtra Samithi,NA"
"36,S01,Andhra Pradesh,19,Anantapur,Yuvajana Sramika Rythu Congress Party,NA"
"300,S19,Punjab,2,Amritsar,Indian National Congress,United Progressive Alliance"
"377,S23,Tripura,1,Tripura West,Bharatiya Janata Party,National Democratic Alliance"
"433,S24,Uttar Pradesh,55,Ambedkar Nagar,Bahujan Samaj Party,NA"
"322,S20,Rajasthan,11,Dausa,Bharatiya Janata Party,National Democratic Alliance"
"192,S11,Kerala,18,Kollam,Revolutionary Socialist Party,United Progressive Alliance"
"423,S24,Uttar Pradesh,45,Jalaun,Bharatiya Janata Party,National Democratic Alliance"
"387,S24,Uttar Pradesh,9,Amroha,Bahujan Samaj Party,NA"
"56,S03,Assam,12,Jorhat,Bharatiya Janata Party,National Democratic Alliance"
"181,S11,Kerala,7,Ponnani,Indian Union Muslim League,United Progressive Alliance"
"453,S24,Uttar Pradesh,75,Ghazipur,Bahujan Samaj Party,NA"
"498,S25,West Bengal,40,Asansol,Bharatiya Janata Party,National Democratic Alliance"
"130,S07,Haryana,4,Hisar,Bharatiya Janata Party,National Democratic Alliance"
"358,S22,Tamil Nadu,21,Pollachi,Dravida Munnetra Kazhagam,United Progressive Alliance"
"402,S24,Uttar Pradesh,24,Aonla,Bharatiya Janata Party,National Democratic Alliance"
"86,S04,Bihar,28,Munger,Janata Dal (United),National Democratic Alliance"
"35,S01,Andhra Pradesh,18,Kurnool,Yuvajana Sramika Rythu Congress Party,NA"
"27,S01,Andhra Pradesh,10,Eluru,Yuvajana Sramika Rythu Congress Party,NA"
"382,S24,Uttar Pradesh,4,Bijnor,Bahujan Samaj Party,NA"
"292,S18,Odisha,15,Kendrapara,Biju Janata Dal,NA"
"269,S13,Maharashtra,46,Ratnagiri - sindhudurg,Shivsena,National Democratic Alliance"
"419,S24,Uttar Pradesh,41,Etawah,Bharatiya Janata Party,National Democratic Alliance"
"186,S11,Kerala,12,Ernakulam,Indian National Congress,United Progressive Alliance"
